Municipio del hecho DANE,Departamento del hecho DANE,total_casos,ratio_masculino,años_activos,cluster
abejorral,antioquia,57,0.0,10,0
acacías,meta,178,0.0,10,0
acandí,chocó,38,0.0,10,0
acevedo,huila,152,0.0,10,0
achí,bolívar,25,0.0,9,0
agrado,huila,8,0.0,6,1
agua de dios,cundinamarca,7,0.0,6,1
aguachica,cesar,294,0.0,9,0
aguachíca,cesar,27,0.0,1,1
aguadas,caldas,62,0.0,10,0
aguazul,casanare,61,0.0,10,0
agustín codazzi,cesar,163,0.0,10,0
aipe,huila,25,0.0,10,0
albania,caquetá,16,0.0,4,1
albania,la guajira,34,0.0,10,0
albania,santander,9,0.0,6,1
alcalá,valle del cauca,130,0.0,10,0
aldana,nariño,10,0.0,6,1
alejandría,antioquia,8,0.0,6,1
algarrobo,magdalena,30,0.0,8,0
algeciras,huila,146,0.0,10,0
almaguer,cauca,17,0.0,6,1
altamira,huila,5,0.0,4,1
alto baudó,chocó,19,0.0,8,0
alvarado,tolima,13,0.0,6,1
amagá,antioquia,116,0.0,10,0
amalfi,antioquia,152,0.0,10,0
ambalema,tolima,42,0.0,9,0
anapoima,cundinamarca,9,0.0,7,1
ancuyá,nariño,8,0.0,4,1
andalucía,valle del cauca,128,0.0,10,0
andes,antioquia,335,0.0,10,0
angelópolis,antioquia,34,0.0,10,0
angostura,antioquia,74,0.0,10,0
anolaima,cundinamarca,11,0.0,8,0
anorí,antioquia,197,0.0,10,0
anserma,caldas,74,0.0,10,0
ansermanuevo,valle del cauca,235,0.0,10,0
anzoátegui,tolima,48,0.0,9,0
anzá,antioquia,27,0.0,8,0
apartadó,antioquia,423,0.0,10,0
apulo,cundinamarca,12,0.0,6,1
apía,risaralda,45,0.0,10,0
aquitania,boyacá,18,0.0,10,0
aracataca,magdalena,121,0.0,10,0
aranzazu,caldas,13,0.0,6,1
arauca,arauca,317,0.0,10,0
arauquita,arauca,262,0.0,10,0
arbeláez,cundinamarca,10,0.0,5,1
arboledas,norte de santander,7,0.0,5,1
arboletes,antioquia,11,0.0,3,1
arenal,bolívar,32,0.0,9,0
argelia,antioquia,28,0.0,6,1
argelia,cauca,354,0.0,10,0
argelia,valle del cauca,31,0.0,9,0
ariguaní,magdalena,66,0.0,10,0
arjona,bolívar,178,0.0,10,0
armenia,antioquia,25,0.0,9,0
armenia,quindio,131,0.0,1,1
armenia,quindío,797,0.0,9,0
armero guayabal,tolima,20,0.0,8,0
astrea,cesar,40,0.0,8,0
ataco,tolima,35,0.0,10,0
atrato,chocó,24,0.0,9,0
ayapel,córdoba,17,0.0,8,0
bagadó,chocó,7,0.0,4,1
bahía solano,chocó,9,0.0,5,1
bajo baudó,chocó,22,0.0,6,1
balboa,cauca,105,0.0,9,0
balboa,risaralda,15,0.0,8,0
baranoa,atlántico,48,0.0,10,0
baraya,huila,26,0.0,9,0
barbacoas,nariño,85,0.0,10,0
barbosa,antioquia,214,0.0,10,0
barbosa,santander,41,0.0,10,0
barranca de upía,meta,27,0.0,8,0
barrancabermeja,santander,659,0.0,10,0
barrancas,la guajira,70,0.0,10,0
barranco de loba,bolívar,32,0.0,8,0
barranquilla,atlántico,3846,0.0,10,3
becerril,cesar,43,0.0,10,0
belalcázar,caldas,37,0.0,10,0
bello,antioquia,850,0.0,10,0
belmira,antioquia,23,0.0,7,1
belén de los andaquíes,caquetá,26,0.0,9,0
belén de umbría,risaralda,78,0.0,10,0
betania,antioquia,143,0.0,10,0
betulia,antioquia,103,0.0,10,0
bochalema,norte de santander,5,0.0,4,1
bogotá d.c.,bogotá d.c.,2674,0.0,2,3
"bogotá, d.c.","bogotá, d.c.",8992,0.0,8,2
bojacá,cundinamarca,7,0.0,4,1
bojayá,chocó,9,0.0,6,1
bolívar,cauca,98,0.0,9,0
bolívar,santander,16,0.0,8,0
bolívar,valle del cauca,79,0.0,10,0
bosconia,cesar,129,0.0,10,0
briceño,antioquia,93,0.0,10,0
bucaramanga,santander,1129,0.0,10,3
bucarasica,norte de santander,24,0.0,7,1
buenaventura,valle del cauca,1057,0.0,10,3
buenavista,córdoba,13,0.0,7,1
buenavista,sucre,11,0.0,7,1
buenos aires,cauca,232,0.0,10,0
buesaco,nariño,22,0.0,7,1
bugalagrande,valle del cauca,133,0.0,10,0
buriticá,antioquia,46,0.0,10,0
cabuyaro,meta,13,0.0,6,1
cachipay,cundinamarca,15,0.0,8,0
caicedo,antioquia,10,0.0,7,1
caicedonia,valle del cauca,227,0.0,10,0
cajamarca,tolima,26,0.0,10,0
cajibío,cauca,117,0.0,10,0
cajicá,cundinamarca,36,0.0,10,0
calamar,bolívar,32,0.0,8,0
calamar,guaviare,74,0.0,10,0
calarca,quindio,33,0.0,1,1
calarcá,quindío,231,0.0,9,0
caldas,antioquia,227,0.0,10,0
caldono,cauca,95,0.0,9,0
cali,valle del cauca,9984,0.0,9,2
calima,valle del cauca,62,0.0,9,0
caloto,cauca,233,0.0,10,0
campamento,antioquia,40,0.0,10,0
campo de la cruz,atlántico,17,0.0,7,1
campoalegre,huila,161,0.0,10,0
canalete,córdoba,23,0.0,8,0
candelaria,atlántico,12,0.0,9,0
candelaria,valle del cauca,550,0.0,10,0
cantagallo,bolívar,18,0.0,6,1
caparrapí,cundinamarca,8,0.0,6,1
caqueza,cundinamarca,6,0.0,1,1
caracolí,antioquia,5,0.0,4,1
carepa,antioquia,164,0.0,10,0
carmen de apicalá,tolima,21,0.0,8,0
carmen del darién,chocó,18,0.0,7,1
cartagena,bolívar,290,0.0,1,1
cartagena de indias,bolívar,2659,0.0,9,3
cartagena del chairá,caquetá,155,0.0,10,0
cartago,valle del cauca,757,0.0,10,0
casabianca,tolima,15,0.0,7,1
castilla la nueva,meta,19,0.0,9,0
caucasia,antioquia,744,0.0,10,0
cañasgordas,antioquia,67,0.0,10,0
cereté,córdoba,169,0.0,10,0
chachagüí,nariño,8,0.0,6,1
chaguaní,cundinamarca,7,0.0,4,1
chalán,sucre,6,0.0,4,1
chaparral,tolima,136,0.0,10,0
charalá,santander,5,0.0,5,1
chigorodó,antioquia,286,0.0,10,0
chimichagua,cesar,41,0.0,10,0
chimá,córdoba,21,0.0,7,1
chinchiná,caldas,168,0.0,10,0
chinácota,norte de santander,22,0.0,7,1
chinú,córdoba,55,0.0,8,0
chipaque,cundinamarca,7,0.0,4,1
chiquinquirá,boyacá,44,0.0,10,0
chiriguaná,cesar,94,0.0,10,0
chita,boyacá,5,0.0,4,1
